nieuwe straatnaam,oude straatnamen
Abdijkaai,
Acacialaan,
Adolf Bayerlaan,
Albert Caulletwandeling,
Albert Einsteinlaan,
Albert Servaeswandeling,
Albijn Van den Abeelelaan,
Alfred Nobellaan,
Ambassadeur Baertlaan,Sint-Cornelisweg
Amsterdamspoortje,
André Devaerelaan,Akkerdreef
Anna Bijnslaan,
Antoon Herbertstraat,
Antoon Vander Plaetsestraat,
Antoon Van Dycklaan,Theysweg 
Antoon Van Dycklaan,
Antoon Van Dycklaan,Cuerenschentweg 
Antoon Van Dycklaan,Lange Koolkapperstraetje 
Antoon Van Dycklaan,Bondgenotenlaan 
Asterlaan,Dalialaan 
Avondzonweg,
Azalealaan,
Baaistraat,Beayestraet
Baaistraat,  
Bad Godesberglaan,Etienne Sabbelaan 
Baggaertshof,OlmekeSint-Jozefshuisjes
Barbes Reke,Impasse Barbe 
Beeklaan,Plantijnlaan
Beekstraat,Beckstrate 
Beekstraat,Beekstraete 
Beekstraat,  
Beekstraat,Karrestraat
Beeldhouwerslaan,
Begijnhof,
Begijnhofstraat,Raepsaetstraet 
Begijnhofstraat,Canesiestraetkin 
Begijnhofstraat,Wyngaertstraetkin 
Begijnhofstraat,dit Canzy 
Begijnhofstraat,Chaussée 
Begijnhofstraat,Kansyestraat 
Begijnhofstraat,Kalsijdestraet 
Begijnhofstraat,du Musée 
Beheerstraat,Gouvernementstraat 
Beheerstraat,Regeeringstraat 
Belfaststraat,Berenstraat 
Beneluxlaan,
Benoits Poortje,
Berkendreef,
Berkenlaan,
Bersacques Poortje,
Bert Willemslaan,
Bessenlaan,
Beukenlaan,
Beverlaai,Beverstraet
Beverlaaihof,Beverlaai
Blekersstraat, Bleekerstraet 
Blekersstraat,Dreve van de Armen
Bloemistenstraat,
Boekweitstraat,Tarwestraat
Boerderijstraat, de la Métairie 
Boerenhol,
Boezingestraat,
Bohemenberg,
Bondgenotenlaan,Geallieerdenlaan
Bosstraat,Elleboogstratken 
Bosstraat,Elleboogstraat of   
Botenkopersstraat,Botekoperssstraat 
Bremlaan,
Broelkaai,Quoddam pratum in Brulio 
Broelkaai,Quai des Tours 
Brugsesteenweg,Cuernestraete
Brugsesteenweg,Tweede gedeelte 
Brugsesteenweg,
Brugsesteenweg,Bruggesteenweg 
Brugsestraat,In vico Brugensi 
Brugsestraat, Brughstrate 
Brugsestraat, Brughstraete 
Brugsestraat,Bruggestraat 
Bruyningpad,
Bruyningstraat,Bruninckstraetgen 
Bruyningstraat,Bruyningstraet
Budastraat,Leiestraat 
Budastraat,Over de Leybrugge 
Budastraat,Leijstraete tusschen beede de brugghen 
Budastraat,Tusschen de Leijebruggen 
Budastraat, des Blanchisseurs 
Burgemeester Coussenspad,
Burgemeester Coussensstraat,
Burgemeester Danneelstraat,Benoit Danneelstraat
Burg. Felix de Bethunelaan,Bleeckersstraet 
Burg. Felix de Bethunelaan,EerdewegJan Bethunelaan 
Burgemeester Gillonlaan,Leopold Gillonlaan 
Burgemeester Mayeurlaan,Arthur Mayeurlaan 
Burgemeester Nolfstraat,Wetstraat 
Burgemeester Nolfstraat,Henri Nolfstraat 
Burgemeester Pyckestraat,Zomerweg of   
Burgemeester Pyckestraat,Pyckensreke 
Burgemeester Pyckestraat,Pyckestraat 
Burgemeester Reynaertstraat, des Grandes Halles 
Burgemeester Reynaertstraat,Hallestraat 
Burgemeester Reynaertstraat,August Reynaertstraat 
Burgemeester Reynaertstraat,Schouwburgplein
Burgemeester Schinkelstraat,BoutrystraatSchinkelstraat 
Burgemeester Tayaertstraat,Tayaertsgat 
Burgemeester Tayaertstraat,Tayaertstraat 
Burgemeester Vercruysselaan,Theysweg
Burgemeester Vercruysselaan,Oostlaan 
Burgemeester Vercruysselaan,Boulevard Julien Liebaert 
Burgemeester Vercruysselaan,Joris Vercuysselaan  
Burgemeester Vercruysselaan,Georges Vercruysselaan  
Cannaertstraat,Kannaertstraat
Cannaertstraat,Cannestraet
Cannaertstraat,Kannestraet
Casinoplein,Casinoplaats 
Casinoplein,Monumentenplaats 
Casinoplein,Place Palfin 
Cederlaan,
Cipreslaan,Cypreslaan 
Condédreef, 
Condédreef,Vannestensdreve
Condédreef,Bleekerstraet 
Condédreef,Verlaan 
Condédreef,Theresia Verlaan 
Conservatoriumplein,Moeskroensestraat 
Dam,Damstraat 
Dam,Damkaai 
Damastweversstraat,
Damkaai,
David Tenierslaan,Tenierslaan 
Deerlijksestraat, 
Deerlijksestraat,Chemin vicinal de deerlijk 
Deerlijksestraat,Deerlyckstraet  
Deerlijksestraat,Deerlijkstraat 
Deken Camerlyncklaan,
Deken Degryselaan,
Deken Jonckheerestraat,
Deken Zegerplein,Zegerplaats 
Deken Zegerplein,Parvis Notre-Dame 
Delacroixstraat,
Dennenlaan,
Diksmuidekaai,
Dirk Martenslaan,Gerard Mercatorlaan 
Doenaertpad,
Dokter Lauwersstraat,
Dokter Peelstraat,Dr. Augustin Peelstraat 
Dokter Snellaertstraat,Dr. Snellaertstraat 
Dokter Thevelinpad ,
Dokter Thevelinstraat,
Dolfijnkaai,Vianestraatje 
Dolfijnkaai,Lombaerdestraetjen 
Dolfijnkaai,Dolfijnstraatje 
Don Boscolaan,Sint-Annadreef 
Doornikselaan,Boulevard de Tournai 
Doornikselaan,DoornikpoortvestingDoorniklaan 
Doorniksesteenweg,
Doorniksesteenweg,
Doorniksesteenweg,Doorniksteenweg
Doorniksestraat,Tournay 
Doorniksestraat,vico de Tornaco 
Doorniksestraat,Doernicstrate 
Doorniksestraat,Doornijckstraete 
Doorniksestraat,Doornikstraat 
